POINT,NORTH,EAST,ELEV,DESC
1,1981537.847,569633.1229,78.6517,er
2,1981538.99,569626.291,78.6734,er
3,1981541.694,569618.8215,78.9416,er
4,1981527.274,569609.4864,79.4093,er
5,1981524.248,569614.1537,79.4861,er
6,1981506.647,569603.1621,80.3237,er
7,1981509.999,569597.273,80.2833,er
8,1981490.762,569590.6589,79.5446,er
9,1981494.539,569584.6682,79.571,er
10,1981481.058,569574.4555,79.2869,er
11,1981476.248,569580.0199,79.3484,er
12,1981463.729,569569.281,79.0551,er
13,1981467.948,569564.4324,78.963,er
14,1981459.001,569554.8476,78.4545,er
15,1981454.824,569559.77,78.6012,er
16,1981445.655,569546.4229,77.7415,er
17,1981451.143,569542.7406,77.651,er
18,1981440.641,569523.8994,75.8031,er
19,1981434.323,569525.5657,75.7686,er
20,1981431.82,569507.3571,75.0015,er
21,1981424.828,569509.9371,75.3187,er
22,1981422.647,569488.9092,74.7586,er
23,1981415.552,569491.6291,74.8309,er
24,1981414.649,569473.0413,75.0073,er
25,1981407.69,569477.9715,74.8671,er
26,1981405.377,569472.7469,75.0859,er
27,1981412.213,569466.9922,75.3725,bbm no. 43
28,1981397.191,569442.0818,76.5442,er
29,1981389.976,569446.9245,76.3952,er
30,1981385.028,569425.1892,76.5733,er
31,1981377.999,569429.4343,76.6602,er
32,1981374.484,569412.6567,76.571,er
33,1981368.36,569418.1937,76.7276,er
34,1981356.803,569399.8469,76.7827,er
35,1981351.118,569405.1437,77.0925,er
36,1981342.331,569390.1378,77.1167,er
37,1981336.864,569394.2864,77.5071,er
38,1981335.956,569381.3074,77.263,er
39,1981329.934,569385.7216,77.5691,er
40,1981296.795,569399.4628,77.2445,acl cp
41,1981333.648,569392.3056,77.3547,acl cp
42,1981530.398,569637.886,78.1031,er
43,1981528.749,569622.3564,78.2049,er
44,1981494.259,569617.929,75.7074,er
45,1981490.706,569634.1851,75.3374,er
46,1981453.015,569632.0496,71.0825,er
47,1981451.644,569614.7331,71.2259,er
48,1981392.466,569612.1583,63.8103,er
49,1981392.303,569629.9278,63.5929,er
50,1981252.23,569647.1396,45.2583,er
51,1981254.094,569664.6833,44.517,er
52,1981249.876,569641.2654,44.039,acl/cp
53,1981345.958,569616.282,58.7945,tp
54,1981345.805,569613.4593,59.25,tp
55,1981345.615,569610.2599,59.6279,tp
56,1981345.438,569606.9077,59.8856,tp
57,1981346.039,569603.8484,59.7774,tp
58,1981346.18,569601.143,59.9453,tp
59,1981344.67,569597.9256,60.1997,tp
60,1981344.025,569596.0676,59.9483,tp
61,1981344.534,569593.7236,59.8567,tp
62,1981344.211,569591.263,59.3066,tp
63,1981343.677,569588.7624,58.577,tp
64,1981342.218,569585.1801,57.5251,tp
65,1981340.858,569583.0826,57.2338,tp
66,1981340.005,569580.829,57.0517,tp
67,1981338.994,569578.6797,56.562,tp
68,1981337.088,569576.4527,56.2635,tp
69,1981335.847,569574.6853,55.4271,tp
70,1981335.061,569573.4306,54.6496,tp
71,1981334.199,569571.3508,53.8136,tp
72,1981333.226,569569.3847,53.1985,tp
73,1981332.471,569566.8545,52.6526,tp
74,1981331.896,569564.8652,52.4093,tp
75,1981332.268,569562.7987,51.9476,tp
76,1981332.329,569560.6899,51.4569,tp
77,1981331.227,569558.481,50.6972,tp
78,1981330.891,569555.6735,50.0387,tp
79,1981330.855,569553.3919,50.5528,tp
80,1981331.687,569551.7373,51.1071,tp
81,1981333.293,569548.0579,50.6119,tp
82,1981333.43,569547.4815,50.5397,tp
83,1981332.417,569552.1513,50.9623,tp
84,1981331.756,569554.7796,50.3676,tp
85,1981332.945,569556.5611,50.419,tp
