TiePointId,MunicipalityName,TiePointName,LPCSNorthing,LPCSEasting,PPCSNorthing,PPCSEasting,PRSNorthing,PRSEasting
3685,BURGOS,"PLS 62, BLLM # 89",20060.88,16941.05,,,,
5036,SAN PABLO,"CAD 166, BBM # 10",21750.35,18517.58,,,,
5037,SAN PABLO,"CAD 166, BBM # 11",21899.31,19587.74,,,,
5038,SAN PABLO,"CAD 166, BBM # 12",21956.4,19882.58,,,,
5039,SAN PABLO,"CAD 166, BBM # 14",22847.19,19792.44,,,,
5040,SAN PABLO,"CAD 166, BBM # 15",22724.43,20030.52,,,,
5041,SAN PABLO,"CAD 166, BBM # 16",22870.63,23258.47,,,,
5042,SAN PABLO,"CAD 166, BBM # 17",22371.43,23573.72,,,,
5043,SAN PABLO,"CAD 166, BBM # 18",24258.21,19335.3,,,,
5044,SAN PABLO,"CAD 166, BBM # 19",23793.11,20770.34,,,,
5045,SAN PABLO,"CAD 166, BBM # 2",20596.21,20488.76,,,,
5046,SAN PABLO,"CAD 166, BBM # 20",23874.85,23934.3,,,,
5047,SAN PABLO,"CAD 166, BBM # 21",23227.12,23870.59,,,,
5048,SAN PABLO,"CAD 166, BBM # 22",24474.03,27620.15,,,,
5049,SAN PABLO,"CAD 166, BBM # 23",19928.82,28282.79,,,,
5050,SAN PABLO,"CAD 166, BBM # 24",20359.77,25081.48,,,,
5051,SAN PABLO,"CAD 166, BBM # 25",20427.65,22985.25,,,,
5052,SAN PABLO,"CAD 166, BBM # 26",18933.42,21189.3,,,,
5053,SAN PABLO,"CAD 166, BBM # 27",17967.8,20314.75,,,,
5054,SAN PABLO,"CAD 166, BBM # 28",18112.17,25704.7,,,,
5055,SAN PABLO,"CAD 166, BBM # 29",24146.05,23393.55,,,,
5056,SAN PABLO,"CAD 166, BBM # 3",19317.22,21048.87,,,,
5057,SAN PABLO,"CAD 166, BBM # 30",18991.23,22538.03,,,,
5058,SAN PABLO,"CAD 166, BBM # 31",19312.46,25243.11,,,,
5059,SAN PABLO,"CAD 166, BBM # 32",17486.45,28246.77,,,,
5060,SAN PABLO,"CAD 166, BBM # 33",19018.08,20724.1,,,,
5061,SAN PABLO,"CAD 166, BBM # 34",19085.64,31956.81,,,,
5062,SAN PABLO,"CAD 166, BBM # 35",24444.95,31581.72,,,,
5063,SAN PABLO,"CAD 166, BBM # 36",28269.83,30402.8,,,,
5064,SAN PABLO,"CAD 166, BBM # 37",28694.26,27620.64,,,,
5065,SAN PABLO,"CAD 166, BBM # 38",20363.43,24124.61,,,,
5066,SAN PABLO,"CAD 166, BBM # 39",26381.41,27536.9,,,,
5067,SAN PABLO,"CAD 166, BBM # 4",19518.06,20018.21,,,,
5068,SAN PABLO,"CAD 166, BBM # 5",19432.53,19307.33,,,,
5069,SAN PABLO,"CAD 166, BBM # 6",18486.64,19285.6,,,,
5070,SAN PABLO,"CAD 166, BBM # 7",19509.87,18442.11,,,,
5071,SAN PABLO,"CAD 166, BBM # 8",20877.32,18179.37,,,,
5072,SAN PABLO,"CAD 166, BBM # 9",20954.28,20133.5,,,,
5074,SAN PABLO,"CAD 166, BLLM # 11",27609.85,19927.2,,,,
5075,SAN PABLO,"CAD 166, BLLM # 12",17712.33,27623.55,,,,
5076,SAN PABLO,"CAD 166, BLLM # 13",17150.9,29500.01,,,,
5077,SAN PABLO,"CAD 166, BLLM # 15",23283.87,24488.34,,,,
5078,SAN PABLO,"CAD 166, BLLM # 16",22052.09,25400.02,,,,
5079,SAN PABLO,"CAD 166, BLLM # 17",24979.43,29433.76,,,,
5080,SAN PABLO,"CAD 166, BLLM # 18",26510.02,29497.51,,,,
5081,SAN PABLO,"CAD 166, BLLM # 19",20934.16,31509.23,,,,
5082,SAN PABLO,"CAD 166, BLLM # 2",20003.12,19693.23,,,,
5083,SAN PABLO,"CAD 166, BLLM # 20",18061.54,22605.99,,,,
5084,SAN PABLO,"CAD 166, BLLM # 21",21212.53,23988.41,,,,
5085,SAN PABLO,"CAD 166, BLLM # 22",23265.8,28271.14,,,,
5086,SAN PABLO,"CAD 166, BLLM # 3",18614.19,19996.95,,,,
5087,SAN PABLO,"CAD 166, BLLM # 4",19252.28,18560.65,,,,
5088,SAN PABLO,"CAD 166, BLLM # 5",20511.84,18652.54,,,,
5089,SAN PABLO,"CAD 166, BLLM # 6",21548.2,19896.11,,,,
5090,SAN PABLO,"CAD 166, BLLM # 7",22329.72,19364.93,,,,
5091,SAN PABLO,"CAD 166, BLLM # 8",23146.98,20241.95,,,,
5093,SAN PABLO,"CAD 166, MBM # 1",19917.29,17218.46,,,,
5094,SAN PABLO,"CAD 166, MBM # 2",19352.13,19156.6,,,,
